肖申克的救赎,1994 美国 犯罪 剧情,3077398
霸王别姬,1993 中国大陆 中国香港 剧情 爱情 同性,2272025
阿甘正传,1994 美国 剧情 爱情,2291362
泰坦尼克号,1997 美国 墨西哥 剧情 爱情 灾难,2331584
千与千寻,2001 日本 剧情 动画 奇幻,2380112
美丽人生,1997 意大利 剧情 喜剧 爱情 战争,1400619
这个杀手不太冷,1994 法国 美国 剧情 动作 犯罪,2411421
星际穿越,2014 美国 英国 加拿大 剧情 科幻 冒险,2002904
盗梦空间,2010 美国 英国 剧情 科幻 悬疑 冒险,2191877
楚门的世界,1998 美国 剧情 科幻,1860481
辛德勒的名单,1993 美国 剧情 历史 战争,1184340
忠犬八公的故事,2009 美国 英国 剧情,1466090
海上钢琴师,1998 意大利 剧情 音乐,1769328
三傻大闹宝莱坞,2009 印度 剧情 喜剧 爱情 歌舞,1962391
放牛班的春天,2004 法国 瑞士 德国 剧情 音乐,1391661
机器人总动员,2008 美国 科幻 动画 冒险,1396748
疯狂动物城,2016 美国 喜剧 动画 冒险,2089102
无间道,2002 中国香港 剧情 犯罪 惊悚,1463237
控方证人,1957 美国 剧情 犯罪 悬疑 惊悚,636823
大话西游之大圣娶亲,1995 中国香港 中国大陆 喜剧 爱情 奇幻 古装,1617667
熔炉,2011 韩国 剧情,984585
教父,1972 美国 剧情 犯罪,1034653
触不可及,2011 法国 剧情 喜剧,1204659
当幸福来敲门,2006 美国 剧情 传记 家庭,1602789
寻梦环游记,2017 美国 喜剧 动画 奇幻 音乐,1816352
末代皇帝,1987 英国 意大利 中国大陆 法国 剧情 传记 历史,956977
龙猫,1988 日本 动画 奇幻 冒险,1338824
怦然心动,2010 美国 剧情 喜剧 爱情,1940245
哈利·波特与魔法石,2001 美国 英国 奇幻 冒险,1303412
活着,1994 中国大陆 中国香港 剧情 历史 家庭,909170
蝙蝠侠：黑暗骑士,2008 美国 英国 剧情 动作 科幻 犯罪 惊悚,1128454
指环王3：王者无敌,2003 美国 新西兰 剧情 动作 奇幻 冒险,855981
我不是药神,2018 中国大陆 剧情 喜剧,2227378
乱世佳人,1939 美国 剧情 历史 爱情 战争,737490
飞屋环游记,2009 美国 剧情 喜剧 动画 冒险,1409272
素媛,2013 韩国 剧情,732185
哈尔的移动城堡,2004 日本 爱情 动画 奇幻 冒险,1182300
让子弹飞,2010 中国大陆 中国香港 剧情 喜剧 动作 西部,1807563
十二怒汉,1957 美国 剧情,534932
何以为家,2018 黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国 剧情,1107460
海蒂和爷爷,2015 德国 瑞士 剧情 冒险 家庭,696212
猫鼠游戏,2002 美国 加拿大 传记 犯罪 剧情,1116766
摔跤吧！爸爸,2016 印度 剧情 传记 运动 家庭,1653751
天空之城,1986 日本 动画 奇幻 冒险,946551
鬼子来了,2000 中国大陆 剧情 喜剧,669554
少年派的奇幻漂流,2012 美国 中国台湾 英国 加拿大 剧情 奇幻 冒险,1419124
钢琴家,2002 英国 法国 波兰 德国 美国 剧情 传记 战争 音乐,695726
指环王2：双塔奇兵,2002 美国 新西兰 剧情 动作 奇幻 冒险,804490
大话西游之月光宝盒,1995 中国香港 中国大陆 喜剧 爱情 奇幻 古装,1288499
闻香识女人,1992 美国 剧情,954456
死亡诗社,1989 美国 剧情,801307
绿皮书,2018 美国 中国大陆 剧情 喜剧 传记 音乐,1766888
大闹天宫,1961(中国大陆)  1964(中国大陆)  1978(中国大陆) 中国大陆 剧情 动画 奇幻 古装,473074
罗马假日,1953 美国 喜剧 剧情 爱情,997757
黑客帝国,1999 美国 动作 科幻,890797
指环王1：护戒使者,2001 新西兰 美国 剧情 动作 奇幻 冒险,902668
教父2,1974 美国 剧情 犯罪,594565
天堂电影院,1988 意大利 法国 剧情 爱情,710053
狮子王,1994 美国 动画 冒险 歌舞,902768
辩护人,2013 韩国 剧情,626323
饮食男女,1994 中国台湾 美国 剧情 家庭,668465
搏击俱乐部,1999 美国 剧情 动作 悬疑 惊悚,906614
本杰明·巴顿奇事,2008 美国 剧情 爱情 奇幻,1045737
美丽心灵,2001 美国 传记 剧情,814250
穿条纹睡衣的男孩,2008 英国 美国 剧情 战争,606209
窃听风暴,2006 德国 剧情 悬疑,600787
情书,1995 日本 剧情 爱情,1202638
两杆大烟枪,1998 英国 剧情 喜剧 犯罪,636013
音乐之声,1965 美国 剧情 传记 爱情 歌舞,643059
看不见的客人,2016 西班牙 剧情 犯罪 悬疑 惊悚,1359188
西西里的美丽传说,2000 意大利 美国 剧情 战争 情色,1037358
哈利·波特与死亡圣器(下),2011 美国 英国 奇幻 冒险,894518
阿凡达,2009 美国 动作 科幻 冒险,1496234
拯救大兵瑞恩,1998 美国 剧情 战争,686240
功夫,2004 中国大陆 中国香港 动作 喜剧 犯罪 奇幻,1233464
小鞋子,1997 伊朗 剧情 儿童 家庭,437568
飞越疯人院,1975 美国 剧情,576498
沉默的羔羊,1991 美国 剧情 犯罪 惊悚,954893
布达佩斯大饭店,2014 美国 德国 英国 剧情 喜剧 冒险,1014376
哈利·波特与阿兹卡班的囚徒,2004 英国 美国 奇幻 冒险,803664
