rank,title,stars,rating_star,rating_num,comments
1,肖申克的救赎,rating5-t,5,9.7,3079604
2,霸王别姬,rating5-t,5,9.6,2273578
3,阿甘正传,rating5-t,5,9.5,2292922
4,泰坦尼克号,rating5-t,5,9.5,2333182
5,千与千寻,rating45-t,45,9.4,2381701
6,美丽人生,rating5-t,5,9.5,1401533
7,这个杀手不太冷,rating45-t,45,9.4,2414320
8,星际穿越,rating45-t,45,9.4,2004688
9,盗梦空间,rating45-t,45,9.4,2193299
10,楚门的世界,rating45-t,45,9.4,1862424
11,辛德勒的名单,rating5-t,5,9.5,1185050
12,忠犬八公的故事,rating45-t,45,9.4,1466899
13,海上钢琴师,rating45-t,45,9.3,1770595
14,三傻大闹宝莱坞,rating45-t,45,9.2,1963578
15,放牛班的春天,rating45-t,45,9.3,1392531
16,机器人总动员,rating45-t,45,9.3,1397665
17,疯狂动物城,rating45-t,45,9.2,2090695
18,无间道,rating45-t,45,9.3,1464277
19,控方证人,rating5-t,5,9.6,637655
20,大话西游之大圣娶亲,rating45-t,45,9.2,1618654
21,熔炉,rating45-t,45,9.3,985158
22,教父,rating45-t,45,9.3,1035478
23,触不可及,rating45-t,45,9.3,1205713
24,当幸福来敲门,rating45-t,45,9.2,1603736
25,寻梦环游记,rating45-t,45,9.1,1818005
26,末代皇帝,rating45-t,45,9.3,957773
27,龙猫,rating45-t,45,9.2,1339577
28,怦然心动,rating45-t,45,9.1,1941407
29,哈利·波特与魔法石,rating45-t,45,9.2,1306673
30,活着,rating45-t,45,9.3,909800
31,蝙蝠侠：黑暗骑士,rating45-t,45,9.2,1129264
32,指环王3：王者无敌,rating45-t,45,9.3,856523
33,我不是药神,rating45-t,45,9.0,2228627
34,乱世佳人,rating45-t,45,9.3,738093
35,飞屋环游记,rating45-t,45,9.1,1410152
36,素媛,rating45-t,45,9.3,732649
37,哈尔的移动城堡,rating45-t,45,9.1,1183605
38,让子弹飞,rating45-t,45,9.0,1808833
39,十二怒汉,rating45-t,45,9.4,535428
40,何以为家,rating45-t,45,9.1,1108127
41,海蒂和爷爷,rating45-t,45,9.3,697173
42,猫鼠游戏,rating45-t,45,9.1,1117786
43,摔跤吧！爸爸,rating45-t,45,9.0,1654716
44,天空之城,rating45-t,45,9.2,947175
45,鬼子来了,rating45-t,45,9.3,670052
46,少年派的奇幻漂流,rating45-t,45,9.1,1419896
47,钢琴家,rating45-t,45,9.3,696323
48,指环王2：双塔奇兵,rating45-t,45,9.2,805019
49,大话西游之月光宝盒,rating45-t,45,9.0,1289268
50,闻香识女人,rating45-t,45,9.1,955548
51,死亡诗社,rating45-t,45,9.2,802394
52,绿皮书,rating45-t,45,8.9,1768488
53,大闹天宫,rating45-t,45,9.4,473454
54,罗马假日,rating45-t,45,9.1,998335
55,黑客帝国,rating45-t,45,9.1,891482
56,指环王1：护戒使者,rating45-t,45,9.1,903253
57,教父2,rating45-t,45,9.3,595113
58,天堂电影院,rating45-t,45,9.2,710417
59,狮子王,rating45-t,45,9.1,903438
60,辩护人,rating45-t,45,9.2,626759
61,饮食男女,rating45-t,45,9.2,669032
62,搏击俱乐部,rating45-t,45,9.0,907303
63,本杰明·巴顿奇事,rating45-t,45,9.0,1046421
64,美丽心灵,rating45-t,45,9.1,814753
65,穿条纹睡衣的男孩,rating45-t,45,9.2,606666
66,窃听风暴,rating45-t,45,9.2,601207
67,情书,rating45-t,45,8.9,1203760
68,两杆大烟枪,rating45-t,45,9.1,636447
69,音乐之声,rating45-t,45,9.1,643526
70,看不见的客人,rating45-t,45,8.8,1360173
71,西西里的美丽传说,rating45-t,45,8.9,1038050
72,哈利·波特与死亡圣器(下),rating45-t,45,9.0,895631
73,阿凡达,rating45-t,45,8.8,1496993
74,拯救大兵瑞恩,rating45-t,45,9.1,686634
75,功夫,rating45-t,45,8.9,1234664
76,小鞋子,rating45-t,45,9.2,437849
77,飞越疯人院,rating45-t,45,9.1,576808
78,沉默的羔羊,rating45-t,45,8.9,955631
79,哈利·波特与阿兹卡班的囚徒,rating45-t,45,9.0,811271
80,布达佩斯大饭店,rating45-t,45,8.9,1015200
81,蝴蝶效应,rating45-t,45,8.9,1002993
82,禁闭岛,rating45-t,45,8.9,1047370
83,致命魔术,rating45-t,45,8.9,915154
84,心灵捕手,rating45-t,45,9.0,770684
85,超脱,rating45-t,45,9.0,667364
86,低俗小说,rating45-t,45,8.9,898393
87,摩登时代,rating45-t,45,9.3,324429
88,喜剧之王,rating45-t,45,8.8,1029919
89,春光乍泄,rating45-t,45,9.0,672663
90,海豚湾,rating45-t,45,9.3,370784
91,致命ID,rating45-t,45,8.9,888787
92,杀人回忆,rating45-t,45,8.9,777988
93,哈利·波特与密室,rating45-t,45,8.9,839901
94,美国往事,rating45-t,45,9.1,443591
95,一一,rating45-t,45,9.1,445085
96,红辣椒,rating45-t,45,9.1,520168
97,加勒比海盗,rating45-t,45,8.8,914690
98,七宗罪,rating45-t,45,8.8,998713
99,唐伯虎点秋香,rating45-t,45,8.7,1153164
100,狩猎,rating45-t,45,9.1,429142
101,7号房的礼物,rating45-t,45,8.9,590966
102,蝙蝠侠：黑暗骑士崛起,rating45-t,45,8.9,769647
103,甜蜜蜜,rating45-t,45,8.9,617685
104,被嫌弃的松子的一生,rating45-t,45,8.8,740662
105,爱在黎明破晓前,rating45-t,45,8.8,741830
106,超能陆战队,rating45-t,45,8.8,1081842
107,第六感,rating45-t,45,8.9,597598
108,寄生虫,rating45-t,45,8.8,1461327
109,重庆森林,rating45-t,45,8.8,868972
110,入殓师,rating45-t,45,8.9,709833
111,爱在日落黄昏时,rating45-t,45,8.9,608417
112,请以你的名字呼唤我,rating45-t,45,8.8,776755
113,幽灵公主,rating45-t,45,8.9,560787
114,剪刀手爱德华,rating45-t,45,8.7,1081014
115,断背山,rating45-t,45,8.8,744537
116,勇敢的心,rating45-t,45,8.9,582621
117,菊次郎的夏天,rating45-t,45,8.9,637932
118,借东西的小人阿莉埃蒂,rating45-t,45,8.9,592744
119,未麻的部屋,rating45-t,45,9.1,385852
120,消失的爱人,rating45-t,45,8.7,1019644
121,无人知晓,rating45-t,45,9.1,349743
122,时空恋旅人,rating45-t,45,8.8,733487
123,哈利·波特与火焰杯,rating45-t,45,8.8,725449
124,倩女幽魂,rating45-t,45,8.8,779431
125,完美的世界,rating45-t,45,9.1,339412
126,阳光灿烂的日子,rating45-t,45,8.8,654739
127,茶馆,rating5-t,5,9.6,178246
128,天使爱美丽,rating45-t,45,8.7,989008
129,小森林 夏秋篇,rating45-t,45,9.0,450325
130,侧耳倾听,rating45-t,45,8.9,495130
131,驯龙高手,rating45-t,45,8.8,805364
132,新世界,rating45-t,45,8.9,486688
133,头脑特工队,rating45-t,45,8.8,719558
134,教父3,rating45-t,45,9.0,403772
135,怪兽电力公司,rating45-t,45,8.8,723846
136,傲慢与偏见,rating45-t,45,8.7,862295
137,幸福终点站,rating45-t,45,8.8,608088
138,一个叫欧维的男人决定去死,rating45-t,45,8.9,524442
139,玩具总动员3,rating45-t,45,8.9,556080
140,小森林 冬春篇,rating45-t,45,9.0,400444
141,色，戒,rating45-t,45,8.7,890516
142,被解救的姜戈,rating45-t,45,8.8,651161
143,釜山行,rating45-t,45,8.6,1276306
144,神偷奶爸,rating45-t,45,8.7,1000020
145,萤火之森,rating45-t,45,8.8,576857
146,九品芝麻官,rating45-t,45,8.7,739008
147,哪吒闹海,rating45-t,45,9.2,279094
148,告白,rating45-t,45,8.8,707556
149,喜宴,rating45-t,45,9.0,396826
150,玛丽和马克思,rating45-t,45,9.0,439367
151,模仿游戏,rating45-t,45,8.8,688488
152,花样年华,rating45-t,45,8.8,660262
153,头号玩家,rating45-t,45,8.6,1441674
154,大鱼,rating45-t,45,8.8,598768
155,射雕英雄传之东成西就,rating45-t,45,8.7,679472
156,七武士,rating45-t,45,9.3,214652
157,惊魂记,rating45-t,45,9.0,327092
158,我是山姆,rating45-t,45,9.0,358243
159,血战钢锯岭,rating45-t,45,8.7,821280
160,阳光姐妹淘,rating45-t,45,8.8,613512
161,恐怖直播,rating45-t,45,8.7,693865
162,你的名字。,rating45-t,45,8.5,1510642
163,黑客帝国3：矩阵革命,rating45-t,45,8.8,472780
164,三块广告牌,rating45-t,45,8.7,872966
165,心迷宫,rating45-t,45,8.8,572527
166,电锯惊魂,rating45-t,45,8.7,574683
167,达拉斯买家俱乐部,rating45-t,45,8.8,481081
168,小丑,rating45-t,45,8.7,1076403
169,疯狂原始人,rating45-t,45,8.7,882094
170,谍影重重3,rating45-t,45,8.8,444329
171,心灵奇旅,rating45-t,45,8.7,1060943
172,背靠背，脸对脸,rating5-t,5,9.5,156982
173,上帝之城,rating45-t,45,9.0,318043
174,绿里奇迹,rating45-t,45,8.9,361388
175,爱在午夜降临前,rating45-t,45,8.9,439125
176,海街日记,rating45-t,45,8.8,486815
177,英雄本色,rating45-t,45,8.6,575254
178,风之谷,rating45-t,45,8.9,375467
179,无间道2,rating45-t,45,8.8,525598
180,疯狂的石头,rating45-t,45,8.6,877108
181,纵横四海,rating45-t,45,8.8,452259
182,2001太空漫游,rating45-t,45,8.9,364084
183,雨中曲,rating45-t,45,9.1,247588
184,卢旺达饭店,rating45-t,45,8.9,350285
185,记忆碎片,rating45-t,45,8.7,638266
186,小偷家族,rating45-t,45,8.7,858752
187,无敌破坏王,rating45-t,45,8.7,578636
188,岁月神偷,rating45-t,45,8.7,595234
189,冰川时代,rating45-t,45,8.6,652919
190,牯岭街少年杀人事件,rating45-t,45,8.9,335746
191,荒蛮故事,rating45-t,45,8.8,471317
192,忠犬八公物语,rating45-t,45,9.2,207779
193,恐怖游轮,rating45-t,45,8.5,931279
