电影中文名,电影英文名,电影详情页链接,导演,主演,上映年份,国籍,类型,评分,评分人数
肖申克的救赎,,,弗兰克·德拉邦特,/ 美国 / 犯罪 剧情,,,,9.7,
霸王别姬,,,陈凯歌,/ 中国大陆 中国香港 / 剧情 爱情 同性,,,,9.6,
阿甘正传,,,罗伯特·泽米吉斯,/ 美国 / 剧情 爱情,,,,9.5,
泰坦尼克号,,,詹姆斯·卡梅隆,/ 美国 墨西哥 / 剧情 爱情 灾难,,,,9.5,
千与千寻,,,宫崎骏,/ 日本 / 剧情 动画 奇幻,,,,9.4,
美丽人生,,,罗伯托·贝尼尼,/ 意大利 / 剧情 喜剧 爱情 战争,,,,9.5,
这个杀手不太冷,,,吕克·贝松,/ 法国 美国 / 剧情 动作 犯罪,,,,9.4,
星际穿越,,,克里斯托弗·诺兰,/ 美国 英国 加拿大 / 剧情 科幻 冒险,,,,9.4,
盗梦空间,,,克里斯托弗·诺兰,/ 美国 英国 / 剧情 科幻 悬疑 冒险,,,,9.4,
楚门的世界,,,彼得·威尔,/ 美国 / 剧情 科幻,,,,9.4,
辛德勒的名单,,,史蒂文·斯皮尔伯格,/ 美国 / 剧情 历史 战争,,,,9.5,
忠犬八公的故事,,,莱塞·霍尔斯道姆,/ 美国 英国 / 剧情,,,,9.4,
海上钢琴师,,,朱塞佩·托纳多雷,/ 意大利 / 剧情 音乐,,,,9.3,
三傻大闹宝莱坞,,,拉库马·希拉尼,/ 印度 / 剧情 喜剧 爱情 歌舞,,,,9.2,
放牛班的春天,,,克里斯托夫·巴拉蒂,/ 法国 瑞士 德国 / 剧情 音乐,,,,9.3,
机器人总动员,,,安德鲁·斯坦顿,/ 美国 / 科幻 动画 冒险,,,,9.3,
疯狂动物城,,,拜伦·霍华德,/ 美国 / 喜剧 动画 冒险,,,,9.2,
无间道,,,刘伟强,/ 中国香港 / 剧情 犯罪 惊悚,,,,9.3,
控方证人,,,比利·怀尔德,/ 美国 / 剧情 犯罪 悬疑 惊悚,,,,9.6,
大话西游之大圣娶亲,,,刘镇伟,/ 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装,,,,9.2,
熔炉,,,黄东赫,/ 韩国 / 剧情,,,,9.3,
教父,,,弗朗西斯·福特·科波拉,/ 美国 / 剧情 犯罪,,,,9.3,
触不可及,,,奥利维·那卡什,/ 法国 / 剧情 喜剧,,,,9.3,
当幸福来敲门,,,加布里尔·穆奇诺,/ 美国 / 剧情 传记 家庭,,,,9.2,
寻梦环游记,,,李·昂克里奇,/ 美国 / 喜剧 动画 奇幻 音乐,,,,9.1,
末代皇帝,,,贝纳尔多·贝托鲁奇,/ 英国 意大利 中国大陆 法国 / 剧情 传记 历史,,,,9.3,
龙猫,,,宫崎骏,/ 日本 / 动画 奇幻 冒险,,,,9.2,
怦然心动,,,罗伯·莱纳,/ 美国 / 剧情 喜剧 爱情,,,,9.1,
哈利·波特与魔法石,,,Chris,/ 美国 英国 / 奇幻 冒险,,,,9.2,
活着,,,张艺谋,/ 中国大陆 中国香港 / 剧情 历史 家庭,,,,9.3,
蝙蝠侠：黑暗骑士,,,克里斯托弗·诺兰,/ 美国 英国 / 剧情 动作 科幻 犯罪 惊悚,,,,9.2,
指环王3：王者无敌,,,彼得·杰克逊,/ 美国 新西兰 / 剧情 动作 奇幻 冒险,,,,9.3,
我不是药神,,,文牧野,/ 中国大陆 / 剧情 喜剧,,,,9.0,
乱世佳人,,,维克多·弗莱明,/ 美国 / 剧情 历史 爱情 战争,,,,9.3,
飞屋环游记,,,彼特·道格特,/ 美国 / 剧情 喜剧 动画 冒险,,,,9.1,
素媛,,,李濬益,/ 韩国 / 剧情,,,,9.3,
哈尔的移动城堡,,,宫崎骏,/ 日本 / 爱情 动画 奇幻 冒险,,,,9.1,
让子弹飞,,,姜文,/ 中国大陆 中国香港 / 剧情 喜剧 动作 西部,,,,9.0,
十二怒汉,,,Sidney,/ 美国 / 剧情,,,,9.4,
何以为家,,,娜丁·拉巴基,/ 黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国 / 剧情,,,,9.1,
海蒂和爷爷,,,阿兰·葛斯彭纳,/ 德国 瑞士 / 剧情 冒险 家庭,,,,9.3,
猫鼠游戏,,,史蒂文·斯皮尔伯格,/ 美国 加拿大 / 传记 犯罪 剧情,,,,9.1,
摔跤吧！爸爸,,,涅提·蒂瓦里,/ 印度 / 剧情 传记 运动 家庭,,,,9.0,
天空之城,,,宫崎骏,/ 日本 / 动画 奇幻 冒险,,,,9.2,
鬼子来了,,,姜文,/ 中国大陆 / 剧情 喜剧,,,,9.3,
少年派的奇幻漂流,,,李安,/ 美国 中国台湾 英国 加拿大 / 剧情 奇幻 冒险,,,,9.1,
