电影排名,电影名称,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDB,摘要,评分,投票,5星,4星,3星,2星,1星
No.1,肖申克的救赎 The Shawshank Redemption,弗兰克·德拉邦特,弗兰克·德拉邦特、斯蒂芬·金,蒂姆·罗宾斯、摩根·弗里曼、鲍勃·冈顿、威廉·桑德勒、克兰西·布朗、吉尔·贝罗斯、马克·罗斯顿、詹姆斯·惠特摩、杰弗里·德曼、拉里·布兰登伯格、尼尔·吉恩托利、布赖恩·利比、大卫·普罗瓦尔、约瑟夫·劳格诺、祖德·塞克利拉、保罗·麦克兰尼、芮妮·布莱恩、阿方索·弗里曼、V·J·福斯特、弗兰克·梅德拉诺、马克·迈尔斯、尼尔·萨默斯、耐德·巴拉米、布赖恩·戴拉特、唐·麦克马纳斯,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                            
                            
                        ",9.7,3079607,85.8%,12.7%,1.3%,0.1%,0.1%
No.2,霸王别姬,陈凯歌,芦苇、李碧华,张国荣、张丰毅、巩俐、葛优、英达、蒋雯丽、吴大维、吕齐、雷汉、尹治、马明威、费振翔、智一桐、李春、赵海龙、李丹、童弟、沈慧芬、黄斐、徐杰,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　段小楼（张丰毅）与程蝶衣（张国荣）是一对打小一起长大的师兄弟，两人一个演生，一个饰旦，一向配合天衣无缝，尤其一出《霸王别姬》，更是誉满京城，为此，两人约定合演一辈子《霸王别姬》。但两人对戏剧与人生关系的理解有本质不同，段小楼深知戏非人生，程蝶衣则是人戏不分。
                                    
                                　　段小楼在认为该成家立业之时迎娶了名妓菊仙（巩俐），致使程蝶衣认定菊仙是可耻的第三者，使段小楼做了叛徒，自此，三人围绕一出《霸王别姬》生出的爱恨情仇战开始随着时代风云的变迁不断升级，终酿成悲剧。
                        ",9.6,2273580,82.5%,15.2%,1.9%,0.2%,0.2%
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0
No.5,千与千寻 千と千尋の神隠し,宫崎骏,宫崎骏,柊瑠美、入野自由、夏木真理、菅原文太、中村彰男、玉井夕海、神木隆之介、内藤刚志、泽口靖子、我修院达也、大泉洋、小林郁夫、上条恒彦、小野武彦,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　千寻和爸爸妈妈一同驱车前往新家，在郊外的小路上不慎进入了神秘的隧道——他们去到了另外一个诡异世界—一个中世纪的小镇。远处飘来食物的香味，爸爸妈妈大快朵颐，孰料之后变成了猪！这时小镇上渐渐来了许多样子古怪、半透明的人。
                                    
                                　　千寻仓皇逃出，一个叫小白的人救了他，喂了她阻止身体消 失的药，并且告诉她怎样去找锅炉爷爷以及汤婆婆，而且必须获得一份工作才能不被魔法变成别的东西。
                                    
                                　　千寻在小白的帮助下幸运地获得了一份在浴池打杂的工作。渐渐她不再被那些怪模怪样的人吓倒，并从小玲那儿知道了小白是凶恶的汤婆婆的弟子。
                                    
                                　　一次，千寻发现小白被一群白色飞舞的纸人打伤，为了救受伤的小白，她用河神送给她的药丸驱出了小白身体内的封印以及守封印的小妖精，但小白还是没有醒过来。
                                    
                                　　为了救小白，千寻又踏上了她的冒险之旅。
                        ",9.4,2381703,73.6%,22.8%,3.3%,0.2%,0.1%
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0
No.8,星际穿越 Interstellar,克里斯托弗·诺兰,乔纳森·诺兰、克里斯托弗·诺兰,马修·麦康纳、安妮·海瑟薇、杰西卡·查斯坦、麦肯吉·弗依、卡西·阿弗莱克、迈克尔·凯恩、马特·达蒙、提莫西·查拉梅、艾伦·伯斯汀、约翰·利思戈、韦斯·本特利、大卫·吉亚西、比尔·欧文、托弗·戈瑞斯、科莱特·沃夫、弗朗西斯·X.麦卡蒂、安德鲁·博尔巴、乔什·斯图沃特、莱雅·卡里恩斯、利亚姆·迪金森、杰夫·赫普内尔、伊莱耶斯·加贝尔、布鲁克·史密斯、大卫·奥伊罗、威廉姆·德瓦内、拉什·费加、格里芬·弗雷泽、弗洛拉·诺兰,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                            
                            
                        ",9.4,2004690,75.6%,20.2%,3.6%,0.4%,0.2%
No.9,盗梦空间 Inception,克里斯托弗·诺兰,克里斯托弗·诺兰,莱昂纳多·迪卡普里奥、约瑟夫·高登-莱维特、艾利奥特·佩吉、汤姆·哈迪、渡边谦、迪利普·劳、基里安·墨菲、汤姆·贝伦杰、玛丽昂·歌迪亚、皮特·波斯尔思韦特、迈克尔·凯恩、卢卡斯·哈斯、李太力、克莱尔·吉尔蕾、马格努斯·诺兰、泰勒·吉蕾、乔纳森·吉尔、水源士郎、冈本玉二、厄尔·卡梅伦、瑞恩·海沃德、米兰达·诺兰、拉什·费加、蒂姆·科勒赫、妲露拉·莱莉,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                            
                            
                        ",9.4,2193299,72.7%,23.4%,3.5%,0.2%,0.1%
No.10,楚门的世界 The Truman Show,彼得·威尔,安德鲁·尼科尔,金·凯瑞、劳拉·琳妮、艾德·哈里斯、诺亚·艾默里奇、娜塔莎·麦克艾霍恩,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　楚门（金•凯瑞 Jim Carrey 饰）是一个平凡得不能再平凡的人，除了一些有些稀奇的经历之外——初恋女友突然失踪、溺水身亡的父亲忽然似乎又出现在眼前，他和绝大多数30多岁的美国男人绝无异样。这令他倍感失落。他也曾试过离开自己生活了多年的地方，但总因种种理由而不能成行。
                                    
                                　　直到有一天，他忽然发觉自己似乎一直在被人跟踪，无论他走到哪里，干什么事情。这种感觉愈来愈强烈。楚门决定不惜一切代价逃离这个他生活了30多年的地方，去寻找他的初恋女友。
                                    
                                　　但他却发现自己怎样也逃不出去。真相其实很残忍。
                        ",9.4,1862437,72.4%,24.1%,3.3%,0.2%,0.1%
