名称,简介,药性,功效,适应症
天门冬,,味甘，性寒,养阴生津、清心消渴、润肠通便、抗菌消炎、除燥降火。,阴虚发热、肺燥干咳、虚劳咳嗽、津伤口渴、心烦失眠、咽喉肿痛
石膏,本品为硫酸盐类矿物硬石膏族石膏，主含含水硫酸钙，采挖后，除去泥沙及杂石。别名大石膏、玉大石、白虎、冰石、细理石,甘、辛，大寒。,清热泻火，除烦止渴。用于外感热病，高热烦渴，肺热喘咳，胃火亢盛，头痛，牙痛。,(1)用于温热病、肺胃大热、高热不退、口渴、烦燥、脉洪大等症。(2)用于温病高热，身发斑疹。(3)用于胃火亢盛所致的头痛、齿痛、牙龈肿痛等症。(4)用于肺热咳嗽、气喘。(5)用于湿疹水火烫伤，疮疡溃后不敛及创伤久不收口…
寒水石,又称凝水石、水石、鹊石，是一种矿石中药材，为天然沉积矿物单斜晶系硫酸钙或三方晶系碳酸钙矿石。,"多为规则的块状结晶,常呈斜方柱形,有棱角白色或黄色,表面平滑，有玻璃样。质坚硬而脆，硬度3，比重2.7。气微，味淡。",有清热降火；利窍；消肿的功效;主治热病烦渴，丹毒烫伤。,广泛形成于沉积作用，如海盆或湖盆地中化学沉积的石膏，常与石灰岩、红色页岩、泥灰岩等成层出现…
知母,本品为单子叶植物百合科知母的干燥根茎，又名蒜辫子草、羊胡子根、地参、蚔母、连母、野蓼性味归经苦、甘，寒。归肺、胃、肾经。清热泻火，生津润燥。用于外感热病，高热烦渴，肺热燥咳，骨蒸潮热，内热消渴，肠燥便秘。春秋二季均可采挖，除去须根及泥沙，晒干，习称“毛知母”；或除去外皮，晒干。置通风干燥处，防潮，以备切片入药，生用，或盐水炙用…,,,
芦根,别名 芦茅根、苇根、芦头、芦柴根,甘，寒。归肺、胃经。,体轻质润，降中有升;具有清热生津，和胃止呕，利尿，透疹的功效，清热泻火，生津止渴，除烦，止呕。用于热病烦渴、胃热呕吐、肺热咳嗽、肺痈吐脓、热淋涩痛。,芦根为芦苇的根茎，苇茎为芦苇的嫩茎。二者出自同一种植物，功效相近。但芦根长于生津止渴，苇茎长于清透肺热，略有侧重。药市中多无苇茎供应，可以芦根代之…
天花粉,本品为葫芦科植物栝楼或双边栝楼的干燥根。秋、冬二季采挖，洗净，除去外皮，切段或纵剖成瓣，干燥。别名：栝楼根、白药、瑞雪、天瓜粉、花粉、屎瓜根、栝蒌粉、萎粉,甘、微苦，微寒。,清热生津，消肿排脓。用于热病烦渴，肺热燥咳，内热消渴，疮疡肿毒。脾胃虚寒大便滑泄者忌服。,①治百合病渴②治大渴③治消渴，除肠胃热实④治黑疸危疾⑤治小儿忽发黄，面目皮肉并黄⑥治虚热咳嗽⑦跌打损伤，胸膛痛疼难忍，咳嗽多年不止…
竹叶,别名 淡竹叶、竹亚科、倭竹族、刚竹属。,甘、淡、胃经、心经、肺经。,治热病烦渴，小儿惊痫，咳逆吐衄，面赤，小便短赤，口糜舌疮。,《别录》：主胸中痰热，咳逆上气。《药性论》：主吐血热毒风，止消渴。《食疗本草》：主咳逆，消渴，痰饮，喉痹，除烦热。《日华子本草》：消痰，治热狂烦闷，中风失音不语，壮热，头痛头风，并怀妊人头旋倒地，止惊悸，温疫迷闷，小儿惊痫天吊…
淡竹叶,别名碎骨子、山鸡米、金鸡米、迷身草、竹叶门冬青、竹叶麦冬、金竹叶、长竹叶、山冬、地竹、野麦冬、淡竹米、林下竹、土麦冬。,味甘、淡，性寒。,根药用，其性味甘淡，能清心、解热、利尿、祛烦躁及催产之效，对于牙龈肿痛、口腔炎等也有良好的疗效。,主治胸中疾热、咳逆上气、吐血、热毒风、止消渴、压丹石毒、消痰、治热狂烦闷、中风失音不语、痛头风、止惊悸、瘟疫迷闷、杀小虫、除热缓脾…
腊梅花,腊梅花，亦称蜡梅，一名黄梅。因花色似蜡，又值农历腊月开放，故而得名。,味甘、微苦，性凉，小毒。,具有解暑生津，理气止痛，顺气止咳，散寒解毒的功效。,可治疗心烦口渴、气郁胸闷，跌打、腰痛、风湿麻木、风寒感冒，刀伤出血等症。…
鸭跖草,竹节菜、鸭鹊草、耳环草、蓝花菜、翠蝴蝶、三角菜、三荚菜、桂竹草、蓝花水竹草、淡竹叶,甘、淡，寒。归肺、胃、小肠经。,清热解毒，利水消肿。用于风热感冒，高热不退，咽喉肿痛，水肿尿少，热淋涩痛，痈肿疔毒。,行水，清热，凉血，解毒。治水肿，脚气，小便不利，感冒，丹毒，腮腺炎，黄疸肝炎，热痢，疟疾，鼻衄，尿血，血崩，白带，咽喉肿痛，痈疽疔疮…
栀子,别名 黄栀子、山栀、白蟾、木丹,苦、寒、无毒。清热泻火药。,泻火除烦、清热利湿、凉血解毒 ；焦栀子：凉血止血。热病心烦、肝火目赤、头痛、湿热黄疸、淋证、血痢尿血、口舌生疮、疮疡肿毒、扭伤肿痛。主五内邪气，胃中热气，面赤，酒疱齇鼻，白癞、赤癞，疮疡。疗目热赤痛，胸心大小肠大热，心中烦闷，胃中热气。,用药禁忌：脾虚便溏者忌服。《本草汇言》：吐血衄血，非阳火暴发者忌之。《得配本草》：邪在表，虚火上升，二者禁用…
栀子,别名 黄栀子、山栀、白蟾、木丹,苦、寒、无毒。清热泻火药。,泻火除烦、清热利湿、凉血解毒 ；焦栀子：凉血止血。热病心烦、肝火目赤、头痛、湿热黄疸、淋证、血痢尿血、口舌生疮、疮疡肿毒、扭伤肿痛。主五内邪气，胃中热气，面赤，酒疱齇鼻，白癞、赤癞，疮疡。疗目热赤痛，胸心大小肠大热，心中烦闷，胃中热气。,用药禁忌：脾虚便溏者忌服。《本草汇言》：吐血衄血，非阳火暴发者忌之。《得配本草》：邪在表，虚火上升，二者禁用…
夏枯草,此草夏至后即枯，故有此名。,苦、辛，寒。入肝、胆经。,清肝、散结、利尿;夏枯草为清肝火、散郁结的要药，它所主治的大多是肝经的病症。该品配以菊花、决明子，可清肝明目，治目赤肿痛、配以石决明、钩藤，可平降肝阳，治头痛、头晕;配以玄参、贝母、牡蛎等品，可软坚散结，治瘰历结核。,用于目赤肿痛，目珠夜痛，头痛眩晕，瘰疬，瘿瘤，肿痛;甲状腺肿大，淋巴结结核，乳腺增生，高血压、高血糖、高血脂…
